annee,nom,population,recette_dotation_fonctionnement,charge_contingents,endettement_annuite,endettement_encours,depense_equipement,recette_fctva,charge_charges_financieres,recette_taxe_habitation,recette_total_investissement,recette_taxe_fonciere_non_bati,souscription_emprunts,charge_total_fonctionnement,recette_total_fonctionnement,recette_autres_impots_taxes,charge_subventions,recette_taxe_fonciere_bati,charge_achats,recette_subventions,recette_taxe_surfaces_commerciales,charge_personnel,nb_res_secondaires,ville_id
2009,ENSUES-LA-REDONNE,5163,924000.0,111000.0,383000.0,2072000.0,2301000.0,424000.0,104000.0,1392000.0,2112000.0,17000.0,0.0,4917000.0,5843000.0,490000.0,82000.0,1579000.0,1577000.0,1176000.0,0.0,2818000.0,458.0,10.0
2009,LYON,480778,116744000.0,5198000.0,58142000.0,434832000.0,86758000.0,10433000.0,15433000.0,143449000.0,186952000.0,360000.0,50000000.0,520943000.0,585789000.0,43705000.0,72816000.0,124769000.0,97867000.0,9534000.0,0.0,289785000.0,7971.0,11.0
2009,STRASBOURG,276867,63411000.0,8312000.0,14130000.0,122181000.0,70661000.0,9793000.0,4345000.0,58503000.0,84964000.0,362000.0,20000000.0,322669000.0,348608000.0,14262000.0,39608000.0,68965000.0,55180000.0,6850000.0,0.0,186530000.0,2643.0,12.0
2010,MARSEILLE,860363,256065000.0,8233000.0,218813000.0,1822155000.0,215636000.0,25162000.0,56653000.0,206371000.0,421714000.0,611000.0,150000000.0,1002896000.0,1081134000.0,47560000.0,79825000.0,174398000.0,164791000.0,14730000.0,0.0,531850000.0,6719.0,1.0
2010,MARTIGUES,46911,5553000.0,5478000.0,8279000.0,61911000.0,26365000.0,3593000.0,1749000.0,8677000.0,41083000.0,105000.0,4660000.0,117686000.0,137002000.0,2585000.0,12039000.0,10048000.0,26641000.0,1746000.0,0.0,64570000.0,1382.0,2.0
2010,MONCEAUX-EN-BESSIN,406,46000.0,13000.0,26000.0,90000.0,180000.0,43000.0,4000.0,47000.0,108000.0,14000.0,0.0,121000.0,161000.0,12000.0,2000.0,49000.0,40000.0,50000.0,0.0,47000.0,6.0,3.0
2010,HENIN-BEAUMONT,26463,8278000.0,3000.0,3668000.0,37323000.0,1298000.0,783000.0,1234000.0,5030000.0,2989000.0,113000.0,0.0,30947000.0,37777000.0,1012000.0,4548000.0,10895000.0,4753000.0,128000.0,0.0,18739000.0,141.0,4.0
2010,JOIGNY,11054,2541000.0,580000.0,1310000.0,8478000.0,1660000.0,244000.0,312000.0,1342000.0,3033000.0,44000.0,700000.0,11049000.0,11825000.0,538000.0,1139000.0,2171000.0,2725000.0,394000.0,0.0,5096000.0,173.0,5.0
2010,MEGEVE,4051,4652000.0,1776000.0,3690000.0,27478000.0,7826000.0,339000.0,855000.0,5703000.0,13229000.0,116000.0,2425000.0,21471000.0,27644000.0,5247000.0,4088000.0,4396000.0,5752000.0,328000.0,0.0,6686000.0,7008.0,6.0
2010,LEVALLOIS-PERRET,63643,46130000.0,4270000.0,114422000.0,720297000.0,56772000.0,11860000.0,23906000.0,16455000.0,133554000.0,41000.0,25000000.0,178828000.0,201620000.0,21610000.0,19092000.0,29297000.0,43636000.0,1946000.0,0.0,66550000.0,1138.0,7.0
2010,RUEIL-MALMAISON,79379,14212000.0,1842000.0,15491000.0,165488000.0,28335000.0,3859000.0,5206000.0,22196000.0,45025000.0,72000.0,14710000.0,133101000.0,148670000.0,8120000.0,8837000.0,21084000.0,31650000.0,8467000.0,0.0,77331000.0,650.0,8.0
2010,BORDEAUX,238921,62764000.0,2549000.0,32247000.0,185380000.0,62361000.0,8195000.0,6903000.0,79327000.0,93077000.0,378000.0,23000000.0,320533000.0,360621000.0,30899000.0,58692000.0,95380000.0,65082000.0,9308000.0,0.0,166665000.0,3314.0,9.0
2010,ENSUES-LA-REDONNE,5235,910000.0,96000.0,228000.0,2227000.0,1309000.0,324000.0,95000.0,1405000.0,1904000.0,18000.0,288000.0,4923000.0,5781000.0,465000.0,128000.0,1601000.0,1571000.0,348000.0,0.0,2820000.0,458.0,10.0
2010,LYON,480660,115255000.0,5234000.0,67783000.0,388129000.0,98079000.0,16963000.0,11657000.0,148249000.0,238243000.0,320000.0,10750000.0,518827000.0,592354000.0,54180000.0,74087000.0,129673000.0,98810000.0,7504000.0,0.0,293818000.0,7971.0,11.0
2010,STRASBOURG,276063,63239000.0,8416000.0,15634000.0,150474000.0,68216000.0,8416000.0,4128000.0,60586000.0,109820000.0,370000.0,40000000.0,347235000.0,371926000.0,15246000.0,40685000.0,70421000.0,55580000.0,8489000.0,0.0,189601000.0,2643.0,12.0
2011,MARSEILLE,859543,257406000.0,9408000.0,232339000.0,1807420000.0,232720000.0,19058000.0,58898000.0,239901000.0,486057000.0,647000.0,160027000.0,992624000.0,1082126000.0,63500000.0,85939000.0,183306000.0,169373000.0,45849000.0,0.0,537212000.0,6719.0,1.0
2011,MARTIGUES,47146,5556000.0,5526000.0,8508000.0,59139000.0,26467000.0,3494000.0,1840000.0,8927000.0,43608000.0,103000.0,4000000.0,119315000.0,136920000.0,2551000.0,13931000.0,10397000.0,25810000.0,4398000.0,0.0,64405000.0,1382.0,2.0
2011,MONCEAUX-EN-BESSIN,446,52000.0,14000.0,16000.0,78000.0,28000.0,29000.0,4000.0,48000.0,209000.0,14000.0,0.0,129000.0,175000.0,9000.0,4000.0,55000.0,43000.0,33000.0,0.0,49000.0,6.0,3.0
2011,HENIN-BEAUMONT,26035,8335000.0,2000.0,6290000.0,36567000.0,4286000.0,206000.0,3862000.0,5259000.0,4318000.0,108000.0,2000000.0,35000000.0,38832000.0,1227000.0,4643000.0,11080000.0,5594000.0,419000.0,0.0,18785000.0,141.0,4.0
2011,JOIGNY,10817,2547000.0,588000.0,1121000.0,8102000.0,2535000.0,212000.0,346000.0,1378000.0,4284000.0,45000.0,455000.0,10900000.0,11786000.0,532000.0,982000.0,2206000.0,3086000.0,394000.0,0.0,5133000.0,173.0,5.0
2011,MEGEVE,4040,4606000.0,2093000.0,4058000.0,24855000.0,9713000.0,597000.0,955000.0,8467000.0,9283000.0,114000.0,77000.0,24113000.0,30979000.0,6426000.0,3995000.0,4624000.0,6740000.0,260000.0,10000.0,8109000.0,7008.0,6.0
2011,LEVALLOIS-PERRET,63402,46380000.0,4586000.0,84775000.0,728134000.0,103779000.0,6812000.0,25423000.0,26623000.0,259091000.0,47000.0,70000000.0,184538000.0,209660000.0,18743000.0,17929000.0,29882000.0,43343000.0,2418000.0,351000.0,66353000.0,1138.0,7.0
2011,RUEIL-MALMAISON,79366,13929000.0,2003000.0,16536000.0,161326000.0,24613000.0,3003000.0,6474000.0,23192000.0,36272000.0,63000.0,5885000.0,131564000.0,136541000.0,6211000.0,10534000.0,21929000.0,28679000.0,2536000.0,0.0,76104000.0,650.0,8.0
2011,BORDEAUX,239642,62089000.0,2763000.0,32475000.0,183704000.0,78736000.0,7976000.0,7240000.0,81249000.0,107078000.0,397000.0,26000000.0,330650000.0,374017000.0,34874000.0,60375000.0,98260000.0,67670000.0,11004000.0,0.0,167420000.0,3314.0,9.0
2011,ENSUES-LA-REDONNE,5295,942000.0,149000.0,240000.0,2099000.0,1567000.0,149000.0,117000.0,1480000.0,2076000.0,16000.0,17000.0,5158000.0,5933000.0,474000.0,140000.0,1681000.0,1650000.0,719000.0,0.0,2827000.0,458.0,10.0
2011,LYON,483181,113883000.0,19878000.0,62090000.0,341110000.0,101269000.0,8468000.0,10608000.0,153495000.0,208424000.0,294000.0,5000000.0,543800000.0,628766000.0,60504000.0,68538000.0,135315000.0,100664000.0,10237000.0,0.0,295535000.0,7971.0,11.0
2011,STRASBOURG,276194,62778000.0,9736000.0,18090000.0,136445000.0,70177000.0,5000000.0,4286000.0,61554000.0,78637000.0,395000.0,0.0,344436000.0,380850000.0,17387000.0,41782000.0,72327000.0,63124000.0,6326000.0,0.0,189429000.0,2643.0,12.0
2012,MARSEILLE,858902,260339000.0,10413000.0,273914000.0,1805961000.0,219773000.0,20310000.0,57961000.0,247219000.0,560242000.0,650000.0,215555000.0,1006328000.0,1099581000.0,63433000.0,92626000.0,188728000.0,169992000.0,18685000.0,0.0,549626000.0,6719.0,1.0
2012,MARTIGUES,47290,5594000.0,5446000.0,8147000.0,53614000.0,30982000.0,3535000.0,1716000.0,9251000.0,40154000.0,128000.0,1000000.0,129013000.0,141358000.0,2361000.0,14576000.0,10706000.0,27421000.0,2252000.0,0.0,67255000.0,1382.0,2.0
2012,MONCEAUX-EN-BESSIN,486,54000.0,14000.0,16000.0,66000.0,12000.0,0.0,3000.0,50000.0,53000.0,14000.0,0.0,118000.0,184000.0,14000.0,3000.0,58000.0,34000.0,35000.0,0.0,49000.0,6.0,3.0
2012,HENIN-BEAUMONT,26164,8503000.0,2000.0,5450000.0,37659000.0,7012000.0,179000.0,3213000.0,5526000.0,7066000.0,105000.0,4433000.0,35680000.0,40107000.0,1282000.0,4652000.0,11623000.0,6411000.0,1088000.0,0.0,19613000.0,141.0,4.0
2012,JOIGNY,10767,2616000.0,601000.0,1243000.0,8714000.0,2817000.0,286000.0,355000.0,1429000.0,4678000.0,46000.0,1500000.0,11520000.0,12011000.0,527000.0,983000.0,2259000.0,3216000.0,1294000.0,0.0,5542000.0,173.0,5.0
2012,MEGEVE,4076,4510000.0,1579000.0,3932000.0,29191000.0,10868000.0,1280000.0,1105000.0,9178000.0,21642000.0,119000.0,7322000.0,28051000.0,32305000.0,4907000.0,5078000.0,4975000.0,8175000.0,518000.0,14000.0,9945000.0,7008.0,6.0
2012,LEVALLOIS-PERRET,63896,45796000.0,4286000.0,77544000.0,731425000.0,50582000.0,18498000.0,21881000.0,27487000.0,160583000.0,55000.0,58700000.0,182041000.0,199890000.0,16295000.0,18187000.0,30310000.0,46038000.0,1512000.0,347000.0,67372000.0,1138.0,7.0
2012,RUEIL-MALMAISON,80425,13804000.0,1858000.0,16200000.0,155342000.0,30282000.0,2668000.0,6217000.0,23886000.0,66691000.0,63000.0,4185000.0,174302000.0,179212000.0,4211000.0,11437000.0,22514000.0,29254000.0,2450000.0,0.0,75588000.0,650.0,8.0
2012,BORDEAUX,240522,60949000.0,2959000.0,27320000.0,199086000.0,119876000.0,8424000.0,7872000.0,84684000.0,154068000.0,386000.0,35447000.0,348370000.0,390853000.0,37427000.0,64310000.0,101023000.0,69404000.0,14686000.0,0.0,169515000.0,3314.0,9.0
2012,ENSUES-LA-REDONNE,5285,914000.0,103000.0,221000.0,1968000.0,2616000.0,148000.0,89000.0,1542000.0,2203000.0,16000.0,0.0,5222000.0,6423000.0,581000.0,146000.0,1730000.0,1822000.0,759000.0,0.0,2790000.0,458.0,10.0
2012,LYON,487978,111853000.0,20190000.0,54545000.0,346695000.0,133330000.0,9604000.0,9788000.0,158478000.0,247936000.0,309000.0,50980000.0,557599000.0,625962000.0,58281000.0,74250000.0,139621000.0,105977000.0,14941000.0,0.0,301789000.0,7971.0,11.0
2012,STRASBOURG,276136,62034000.0,14083000.0,17768000.0,122319000.0,97390000.0,7006000.0,4003000.0,63592000.0,97459000.0,444000.0,0.0,359115000.0,450608000.0,17544000.0,41565000.0,74220000.0,67282000.0,7122000.0,0.0,187375000.0,2643.0,12.0
2013,MARSEILLE,859368,267250000.0,10817000.0,214607000.0,1841058000.0,281683000.0,21088000.0,57284000.0,253841000.0,549626000.0,638000.0,193557000.0,1097219000.0,1167999000.0,65746000.0,101615000.0,196131000.0,198097000.0,39974000.0,0.0,566714000.0,6719.0,1.0
2013,MARTIGUES,48261,5722000.0,5396000.0,8805000.0,60980000.0,27656000.0,4502000.0,1761000.0,9537000.0,45792000.0,120000.0,14500000.0,126620000.0,136319000.0,2755000.0,12984000.0,11185000.0,28837000.0,6783000.0,0.0,69858000.0,1382.0,2.0
2013,MONCEAUX-EN-BESSIN,526,58000.0,106000.0,16000.0,53000.0,134000.0,30000.0,3000.0,53000.0,64000.0,14000.0,0.0,216000.0,213000.0,30000.0,3000.0,60000.0,41000.0,15000.0,0.0,48000.0,6.0,3.0
2013,HENIN-BEAUMONT,26728,8887000.0,2000.0,4987000.0,37540000.0,5639000.0,616000.0,2417000.0,5083000.0,10093000.0,99000.0,2000000.0,37180000.0,40252000.0,1167000.0,4674000.0,12081000.0,6647000.0,864000.0,0.0,20797000.0,141.0,4.0
2013,JOIGNY,10676,2752000.0,611000.0,1234000.0,9429000.0,2943000.0,375000.0,335000.0,1456000.0,3855000.0,49000.0,1600000.0,11901000.0,11845000.0,547000.0,1070000.0,2310000.0,3231000.0,529000.0,0.0,5571000.0,173.0,5.0
2013,MEGEVE,3889,4364000.0,1206000.0,4816000.0,34579000.0,13281000.0,1101000.0,1343000.0,9370000.0,17256000.0,119000.0,6500000.0,27482000.0,30552000.0,3007000.0,4127000.0,5133000.0,8154000.0,342000.0,22000.0,10287000.0,7008.0,6.0
2013,LEVALLOIS-PERRET,64757,45143000.0,4327000.0,159289000.0,594968000.0,105007000.0,6441000.0,24731000.0,28442000.0,287150000.0,56000.0,0.0,237777000.0,250693000.0,10657000.0,18624000.0,31994000.0,45717000.0,7624000.0,446000.0,69243000.0,1138.0,7.0
2013,RUEIL-MALMAISON,80905,13620000.0,1834000.0,16141000.0,152142000.0,37921000.0,3138000.0,5984000.0,25207000.0,53196000.0,67000.0,7000000.0,139689000.0,145066000.0,6147000.0,12348000.0,23152000.0,28113000.0,2373000.0,0.0,77865000.0,650.0,8.0
2013,BORDEAUX,242945,60056000.0,3116000.0,27841000.0,225296000.0,175765000.0,10690000.0,8778000.0,87681000.0,162947000.0,398000.0,45000000.0,349951000.0,386895000.0,36617000.0,66465000.0,103927000.0,72684000.0,37647000.0,0.0,175535000.0,3314.0,9.0
2013,ENSUES-LA-REDONNE,5316,890000.0,36000.0,862000.0,3388000.0,5522000.0,333000.0,208000.0,1609000.0,5251000.0,16000.0,2200000.0,5923000.0,6760000.0,730000.0,137000.0,1803000.0,2014000.0,1599000.0,0.0,3140000.0,458.0,10.0
2013,LYON,492578,110248000.0,20437000.0,59063000.0,391276000.0,157483000.0,11776000.0,10179000.0,163982000.0,255981000.0,312000.0,94217000.0,573293000.0,637877000.0,57249000.0,76216000.0,144528000.0,109317000.0,7101000.0,0.0,307935000.0,7971.0,11.0
2013,STRASBOURG,276401,61644000.0,14162000.0,16934000.0,158173000.0,127368000.0,5000000.0,2881000.0,64580000.0,182997000.0,473000.0,50000000.0,344336000.0,368095000.0,16870000.0,42304000.0,76239000.0,67477000.0,13958000.0,0.0,191469000.0,2643.0,12.0
2014,MARSEILLE,859367,259790000.0,13726000.0,219067000.0,1852574000.0,206736000.0,30781000.0,55290000.0,255819000.0,495505000.0,616000.0,164354000.0,1052103000.0,1141983000.0,67228000.0,95148000.0,200586000.0,164209000.0,32612000.0,0.0,581129000.0,6719.0,1.0
2014,MARTIGUES,48295,4710000.0,5434000.0,9139000.0,58560000.0,17875000.0,0.0,1744000.0,9666000.0,29847000.0,109000.0,5000000.0,127420000.0,135757000.0,2494000.0,11930000.0,11496000.0,28411000.0,3344000.0,0.0,72704000.0,1382.0,2.0
2014,MONCEAUX-EN-BESSIN,538,59000.0,32000.0,12000.0,43000.0,11000.0,1000.0,2000.0,54000.0,48000.0,14000.0,0.0,167000.0,225000.0,32000.0,3000.0,62000.0,45000.0,0.0,0.0,53000.0,6.0,3.0
2014,HENIN-BEAUMONT,27341,8874000.0,0.0,4790000.0,36687000.0,8003000.0,940000.0,2104000.0,4579000.0,8040000.0,96000.0,2000000.0,36542000.0,40276000.0,1751000.0,4548000.0,12356000.0,5844000.0,827000.0,0.0,21939000.0,141.0,4.0
2014,JOIGNY,10454,2723000.0,616000.0,1054000.0,10808000.0,3154000.0,422000.0,589000.0,1481000.0,6221000.0,50000.0,2207000.0,11705000.0,12107000.0,615000.0,915000.0,2324000.0,3171000.0,385000.0,0.0,5327000.0,173.0,5.0
2014,MEGEVE,3694,4002000.0,1019000.0,3530000.0,37335000.0,15839000.0,1045000.0,1098000.0,9785000.0,15051000.0,135000.0,4844000.0,33404000.0,36102000.0,3275000.0,4063000.0,5304000.0,9463000.0,85000.0,21000.0,11036000.0,7008.0,6.0
2014,LEVALLOIS-PERRET,65174,43258000.0,4368000.0,75347000.0,544307000.0,42407000.0,2105000.0,17882000.0,28297000.0,148868000.0,65000.0,6806000.0,218876000.0,228470000.0,7379000.0,18299000.0,32347000.0,42806000.0,5430000.0,795000.0,73132000.0,1138.0,7.0
2014,RUEIL-MALMAISON,81376,12433000.0,1887000.0,16130000.0,152600000.0,23655000.0,3744000.0,6099000.0,25425000.0,32199000.0,67000.0,9000000.0,134857000.0,137026000.0,3279000.0,12259000.0,23304000.0,28133000.0,1818000.0,0.0,79112000.0,650.0,8.0
2014,BORDEAUX,243199,56755000.0,3159000.0,31154000.0,284414000.0,141497000.0,12204000.0,9928000.0,88934000.0,192368000.0,397000.0,45108000.0,384178000.0,409900000.0,36905000.0,69328000.0,106124000.0,74949000.0,47932000.0,0.0,181441000.0,3314.0,9.0
2014,ENSUES-LA-REDONNE,5344,829000.0,27000.0,516000.0,3004000.0,4380000.0,846000.0,172000.0,1616000.0,9630000.0,14000.0,0.0,6154000.0,6369000.0,315000.0,140000.0,1838000.0,2089000.0,7238000.0,0.0,3452000.0,458.0,10.0
2014,LYON,499785,105835000.0,20237000.0,61600000.0,424259000.0,155326000.0,14852000.0,11085000.0,165853000.0,239728000.0,287000.0,86167000.0,583929000.0,635163000.0,56284000.0,78892000.0,147199000.0,107683000.0,5715000.0,0.0,321876000.0,7971.0,11.0
2014,STRASBOURG,276750,58303000.0,14403000.0,22050000.0,223275000.0,118080000.0,15839000.0,3990000.0,64732000.0,185483000.0,530000.0,83400000.0,356783000.0,376541000.0,17673000.0,42918000.0,77039000.0,66128000.0,12517000.0,0.0,194949000.0,2643.0,12.0
