annee,personnel_6,impots_6,intervention_hors_suventions_6,frais_financiers_6,produits_fonctionnement_exceptionnels_7,tfnb_produit_commune,fiscalite_reversee_7,fonds_compensation_charges_territoriales_6,depenses_equipement_2,frais_elus_6,autres_recettes_equipement_2,autres_6,dotations_etat_7,subventions_equipement_versees_2,ventes_biens_services_7,subventions_equipement_recues_1,autres_impots_taxes_7,depenses_operations_tiers_4,achats_charges_externes_6,tfb_produit_syndicat,th_produit_epci,impots_locaux_7,population,tfnb_produit_syndicat,fctva_1,exceptionnel_6,suventions_participations_7,tfnb_produit_epci,autres_produits_fonctionnement_7,recettes_operations_tiers_4,tfb_produit_epci,endettement_16,autres_dotations_subventions_equipement_1,tfb_produit_commune,th_produit_syndicat,autres_depenses_equipement_1,autres_depenses_equipement_2,subventions_versees_6,th_produit_commune,produits_cessions_7,ville_id
2012,-2662114306,-34533727,-127596283,-155369072,37985686,6102067,880728249,0,-1168772771,-31332964,59837201,-20800102,1301651896,-125961454,363966787,223547781,419116308,-20954223,-1070871048,5161663,508195837,2192667284,4067485,6966,127131120,-87513826,221181944,726954,134082888,18865104,71547860,4380906945,47956706,1211812639,5015138,-2217804,-73193011,-643328417,970957018,136594446,36634
2013,-2736652766,-35280067,-131672920,-151669987,54792006,6070955,880567375,0,-1288339311,-36359334,106305916,-19295115,1296774316,-180794421,378418942,258861233,413287097,-20625162,-1098606811,5349185,525160240,2269790946,4067485,7537,166808875,-107077766,226900282,728660,142999166,17281869,76062658,4499310164,31467534,1246450160,5245217,-4934749,-55747655,-651689152,1001123681,100997674,36634
2014,-2856113546,-36185431,-131917464,-160038903,35999066,5978582,869973563,0,-1145224845,-36269909,43924930,-19254279,1256022982,-137516297,378211751,266320193,417878259,-12457242,-1075544493,5456503,529349269,2309570928,4075359,7528,170123431,-92252160,240310606,718678,135309364,10956124,77480415,4653525852,55980088,1272803538,5271745,-5877332,-73499870,-655010089,1014862048,122346474,36634
2015,-2867014977,-32403239,-132716007,-152775854,28601777,6232023,804433452,0,-1021076482,-37122705,74150001,-19894158,1165310180,-114071525,391902465,215358297,433083390,-15659479,-1009860028,5585134,551424198,2375640819,4087033,8352,140715155,-94667933,269715352,711283,125604267,17660357,102624725,4756960760,75825655,1301270612,5515996,-6489759,-52918383,-634726515,1055761036,105459270,36634
2016,-2842718792,-34520276,-122218658,-137969241,38566310,6091286,833715829,-121448402,-923612502,-37409888,57636300,-25150320,1064745296,-103189708,427801784,229564498,446729252,-31623345,-979249389,5702027,494629415,2475095280,4087033,9472,148179056,-72128686,268305233,656079,143774371,30471146,103961248,4778685607,15787033,1337285784,5466931,-11926304,-48827735,-634860172,1116180235,77734509,36634
2017,-2835481080,-36191987,-125792264,-127979253,45486471,6152858,780684732,-120646394,-903314362,-37503944,50714655,-18498721,1056978520,-94265102,427789027,184794841,432554592,-49340499,-955513619,5830928,502945465,2456088792,4087033,9025,119328089,-69359377,263212545,745738,134819316,49217772,109449258,4828867953,11622599,1352353450,5595778,-13284459,-59124271,-620919378,1125793142,93794995,36634
2012,-7104819463,-64110176,-301947381,-393919575,111696339,26954364,2068392601,0,-3164119170,-92255234,67282170,-55883280,3202029714,-165285427,944827921,678039415,1079577337,-25808309,-3004208999,25048547,934666023,5748883631,9817325,242973,371059187,-112533436,649665054,1442428,238763310,21395133,74442441,10572598511,130326811,2898515125,25462173,-14091717,-62605766,-1145323534,2455827833,428189940,36635
2013,-7276559587,-65027333,-299780107,-414867151,105566218,27365272,2183890698,0,-3461260012,-97737822,108951704,-62861560,3155913548,-158013718,952031410,674594134,1069488879,-20870172,-3078419921,28005020,993501468,5840223974,9817325,272384,409262150,-99575320,657256142,1540648,252513361,22200576,84177275,10717521159,125363962,2985847337,27910464,-22876518,-95068543,-1161689354,2506827150,379973564,36635
2014,-7701812307,-64935676,-297378978,-394190509,105848229,28360616,2381326245,0,-3017362173,-100310352,98496896,-61632928,3042407727,-166127335,996932454,703745135,1066303281,-20188433,-3058192171,28534006,1062013244,5913957572,10086637,267057,457250847,-103925078,713246938,1714133,258124110,22036328,98040044,11097300463,91592319,3126784773,28447641,-11112395,-93671004,-1191102979,2565374981,307832877,36635
2015,-7832871454,-67761572,-300413021,-385197852,110681730,31497100,2454368549,0,-2562165651,-102135700,88227858,-65616247,2854572857,-144345016,1010575996,647623724,1114820316,-19013723,-2969506212,25997439,1125056112,6175897778,10212114,265575,458124366,-108554574,791068598,1870535,246947510,17523051,171698134,11335118188,204314284,3248245252,27207189,-19743073,-105390318,-1150102633,2698832573,312701888,36635
2016,-7798604915,-68265714,-274294946,-354927898,117210975,29790519,2859405486,-408193848,-2486309052,-103481723,115347589,-67155166,2554112847,-141903913,1081871989,589258225,1114060850,-24458668,-2881704331,25663875,972845122,6200360913,10153169,223225,372824654,-143408619,800711397,1714716,268392371,17893207,191753862,11318069098,106542456,3328178335,26404888,-16178216,-157429415,-1120594189,2834065842,457660604,36635
2017,-7958789688,-69084644,-255346692,-331214159,162191454,30216197,2894203221,-415922645,-2963939659,-105535655,119534781,-77763467,2501780824,-143011614,1070610087,559355501,1129606458,-28802267,-2885836967,24982418,993567941,6291751290,10191093,227262,364868506,-127884710,786783450,1883781,257351866,26501594,203179614,11226992976,108342875,3405090321,25866425,-13932271,-116905193,-1111540382,2877190863,567484679,36635
2012,-5482894999,-62928383,-428480755,-397632806,111743771,101431192,1782241731,0,-3850419110,-216941792,77580802,-41005438,2894197249,-109893249,835239037,762908445,909096478,-18763342,-2966433231,26206526,1151701314,5249589848,11534974,642609,458372340,-76699191,544149576,8745106,367616451,19062038,158028822,10279854239,181723261,2566666684,23901078,-19224065,-64933974,-813671240,2195349660,382437252,36636
2013,-5652645342,-63092445,-413725479,-397125846,131471920,103313423,1869127538,0,-4167264512,-227001027,69482848,-41424474,2838295662,-105596380,866607314,780431592,891722042,-22647899,-3080547283,26348012,1223499446,5369909487,11534974,656024,483945920,-86713512,545178886,9280604,364982873,22262522,174510716,10356192453,146280434,2660311584,23935607,-22334874,-54674460,-827732277,2259972941,345531804,36636
