nom,cog,catpop,nom_propre,nom_propre_et_dep,taux_hlm_legal,taux_hlm_2015,nb_menages_2013,uc_par_menage,revenu_median_uc,decile_revenu,nb_res_secondaires
ROQUEFORT-SUR-SOULZON,12203,Entre 500 et 999 habitants,Roquefort-sur-Soulzon,Roquefort-sur-Soulzon (12),,,283,1.75,20442,6,47
ROQUE-SAINTE-MARGUERITE (LA),12204,Moins de 500 habitants,La Roque-Sainte-Marguerite,La Roque-Sainte-Marguerite (12),,,86,1.85,17753,2,112
ROUSSENNAC,12206,Entre 500 et 999 habitants,Roussennac,Roussennac (12),,,229,1.89,20074,6,55
RULHAC-SAINT-CIRQ,12207,Moins de 500 habitants,Rullac-Saint-Cirq,Rullac-Saint-Cirq (12),,,172,1.81,15803,1,53
SAINT-AFFRIQUE,12208,Entre 3 500 et 9 999 habitants,Saint-Affrique,Saint-Affrique (12),,,3889,1.64,19114,5,339
SAINT-AMANS-DES-COTS,12209,Entre 500 et 999 habitants,Saint-Amans-des-Cots,Saint-Amans-des-Cots (12),,,336,1.67,17555,2,267
SAINT-ANDRE-DE-NAJAC,12210,Moins de 500 habitants,Saint-André-de-Najac,Saint-André-de-Najac (12),,,192,1.69,16134,1,117
SAINT-ANDRE-DE-VEZINES,12211,Moins de 500 habitants,Saint-André-de-Vézines,Saint-André-de-Vézines (12),,,60,1.61,19467,5,66
SAINT-BEAULIZE,12212,Moins de 500 habitants,Saint-Beaulize,Saint-Beaulize (12),,,55,1.59,15690,1,65
SAINT-BEAUZELY,12213,Entre 500 et 999 habitants,Saint-Beauzély,Saint-Beauzély (12),,,233,1.84,18014,3,94
SAINT-CHELY-D'AUBRAC,12214,Entre 500 et 999 habitants,Saint-Chély-d'Aubrac,Saint-Chély-d'Aubrac (12),,,236,1.68,16383,1,205
SAINT-CHRISTOPHE-VALLON,12215,Entre 1 000 et  3 499 habitants,Saint-Christophe-Vallon,Saint-Christophe-Vallon (12),,,503,1.79,20452,6,38
SAINT-COME-D'OLT,12216,Entre 1 000 et  3 499 habitants,Saint-Côme-d'Olt,Saint-Côme-d'Olt (12),,,565,1.72,20410,6,147
SAINTE-CROIX,12217,Entre 500 et 999 habitants,Sainte-Croix,Sainte-Croix (12),,,296,1.84,19151,5,80
SAINT-CYPRIEN-SUR-DOURDOU,12218,Entre 500 et 999 habitants,,,,,400,1.74,19590,5,92
SAINTE-EULALIE-D'OLT,12219,Moins de 500 habitants,Sainte-Eulalie-d'Olt,Sainte-Eulalie-d'Olt (12),,,191,1.59,16963,1,126
SAINTE-EULALIE-DE-CERNON,12220,Moins de 500 habitants,Sainte-Eulalie-de-Cernon,Sainte-Eulalie-de-Cernon (12),,,126,1.73,19463,5,103
SAINT-FELIX-DE-LUNEL,12221,Moins de 500 habitants,Saint-Félix-de-Lunel,Saint-Félix-de-Lunel (12),,,185,1.75,17393,2,32
SAINT-FELIX-DE-SORGUES,12222,Moins de 500 habitants,Saint-Félix-de-Sorgues,Saint-Félix-de-Sorgues (12),,,100,1.66,17145,2,86
SAINTE-GENEVIEVE-SUR-ARGENCE,12223,Entre 1 000 et  3 499 habitants,Argences en Aubrac,Argences en Aubrac (12),,,457,1.59,17808,2,243
SAINT-GENIEZ-D'OLT,12224,Entre 1 000 et  3 499 habitants,Saint Geniez d'Olt et d'Aubrac,Saint Geniez d'Olt et d'Aubrac (12),,,888,1.62,18202,3,302
SAINT-GEORGES-DE-LUZENCON,12225,Entre 1 000 et  3 499 habitants,Saint-Georges-de-Luzençon,Saint-Georges-de-Luzençon (12),,,626,1.92,19876,6,115
SAINT-HIPPOLYTE,12226,Moins de 500 habitants,Saint-Hippolyte,Saint-Hippolyte (12),,,224,1.64,16438,1,149
SAINT-IGEST,12227,Moins de 500 habitants,Saint-Igest,Saint-Igest (12),,,80,1.94,17088,1,27
SAINT-IZAIRE,12228,Moins de 500 habitants,Saint-Izaire,Saint-Izaire (12),,,139,1.74,15057,1,140
SAINT-JEAN-D'ALCAPIES,12229,Moins de 500 habitants,Saint-Jean-d'Alcapiès,Saint-Jean-d'Alcapiès (12),,,99,2.11,20591,7,17
SAINT-JEAN-DELNOUS,12230,Moins de 500 habitants,Saint-Jean-Delnous,Saint-Jean-Delnous (12),,,136,2.03,18286,3,19
SAINT-JEAN-DU-BRUEL,12231,Entre 500 et 999 habitants,Saint-Jean-du-Bruel,Saint-Jean-du-Bruel (12),,,323,1.62,18380,3,434
SAINT-JEAN-ET-SAINT-PAUL,12232,Moins de 500 habitants,Saint-Jean-et-Saint-Paul,Saint-Jean-et-Saint-Paul (12),,,108,1.94,18441,3,137
SAINTE-JULIETTE-SUR-VIAUR,12234,Entre 500 et 999 habitants,Sainte-Juliette-sur-Viaur,Sainte-Juliette-sur-Viaur (12),,,231,1.99,20544,6,41
SAINT-JUST-SUR-VIAUR,12235,Moins de 500 habitants,Saint-Just-sur-Viaur,Saint-Just-sur-Viaur (12),,,100,1.89,16394,1,69
SAINT-LAURENT-D'OLT,12237,Entre 500 et 999 habitants,Saint-Laurent-d'Olt,Saint-Laurent-d'Olt (12),,,265,1.75,17188,2,191
SAINT-LEONS,12238,Moins de 500 habitants,Saint-Léons,Saint-Léons (12),,,151,1.80,19296,5,83
SAINT-MARTIN-DE-LENNE,12239,Moins de 500 habitants,Saint-Martin-de-Lenne,Saint-Martin-de-Lenne (12),,,136,1.80,19315,5,48
SAINT-PARTHEM,12240,Moins de 500 habitants,Saint-Parthem,Saint-Parthem (12),,,190,1.75,18597,4,65
SAINTE-RADEGONDE,12241,Entre 1 000 et  3 499 habitants,Sainte-Radegonde,Sainte-Radegonde (12),,,668,2.00,23987,9,12
SAINT-REMY,12242,Moins de 500 habitants,Saint-Rémy,Saint-Rémy (12),,,148,1.83,19127,5,13
SAINT-ROME-DE-TARN,12244,Entre 500 et 999 habitants,Saint-Rome-de-Tarn,Saint-Rome-de-Tarn (12),,,388,1.68,19183,5,184
SAINT-SALVADOU,12245,Moins de 500 habitants,,,,,182,1.69,16608,1,33
SAINT-SANTIN,12246,Entre 500 et 999 habitants,Saint-Santin,Saint-Santin (12),,,242,1.87,17592,2,58
SAINT-SATURNIN-DE-LENNE,12247,Moins de 500 habitants,Saint-Saturnin-de-Lenne,Saint-Saturnin-de-Lenne (12),,,148,1.75,18272,3,63
SAINT-SEVER-DU-MOUSTIER,12249,Moins de 500 habitants,Saint-Sever-du-Moustier,Saint-Sever-du-Moustier (12),,,98,1.76,14809,1,65
SAINT-SYMPHORIEN-DE-THENIERES,12250,Moins de 500 habitants,Saint-Symphorien-de-Thénières,Saint-Symphorien-de-Thénières (12),,,110,1.82,17093,2,92
SAINT-VICTOR-ET-MELVIEU,12251,Moins de 500 habitants,Saint-Victor-et-Melvieu,Saint-Victor-et-Melvieu (12),,,175,1.70,17739,2,75
SALLES-CURAN,12253,Entre 1 000 et  3 499 habitants,Salles-Curan,Salles-Curan (12),,,474,1.77,17673,2,478
SALLES-LA-SOURCE,12254,Entre 1 000 et  3 499 habitants,Salles-la-Source,Salles-la-Source (12),,,843,1.93,22424,8,246
SALMIECH,12255,Entre 500 et 999 habitants,Salmiech,Salmiech (12),,,341,1.70,18577,3,78
SALVAGNAC-CAJARC,12256,Moins de 500 habitants,Salvagnac-Cajarc,Salvagnac-Cajarc (12),,,181,1.67,18324,3,69
SALVETAT-PEYRALES (LA),12258,Entre 1 000 et  3 499 habitants,La Salvetat-Peyralès,La Salvetat-Peyralès (12),,,464,1.65,17294,2,178
SANVENSA,12259,Entre 500 et 999 habitants,Sanvensa,Sanvensa (12),,,283,1.88,18006,3,62
SAUCLIERES,12260,Moins de 500 habitants,Sauclières,Sauclières (12),,,70,1.72,17179,2,59
SAUJAC,12261,Moins de 500 habitants,Saujac,Saujac (12),,,60,1.67,20210,6,43
SAVIGNAC,12263,Entre 500 et 999 habitants,Savignac,Savignac (12),,,276,1.97,20036,6,30
SEBAZAC-CONCOURES,12264,Entre 1 000 et  3 499 habitants,Sébazac-Concourès,Sébazac-Concourès (12),,,1292,1.87,23007,9,53
SEBRAZAC,12265,Entre 500 et 999 habitants,Sébrazac,Sébrazac (12),,,209,1.84,17525,2,63
SEGUR,12266,Entre 500 et 999 habitants,Ségur,Ségur (12),,,236,1.87,15750,1,95
SENERGUES,12268,Moins de 500 habitants,Sénergues,Sénergues (12),,,212,1.58,15347,1,71
SERRE (LA),12269,Moins de 500 habitants,La Serre,La Serre (12),,,46,1.78,15161,1,21
SEVERAC-L'EGLISE,12271,Moins de 500 habitants,,,,,192,1.81,19726,5,21
SONNAC,12272,Moins de 500 habitants,Sonnac,Sonnac (12),,,198,1.94,20295,6,68
SOULAGES-BONNEVAL,12273,Moins de 500 habitants,Soulages-Bonneval,Soulages-Bonneval (12),,,123,1.91,18781,4,73
SYLVANES,12274,Moins de 500 habitants,Sylvanès,Sylvanès (12),,,44,1.73,0,10,58
TAURIAC-DE-CAMARES,12275,Moins de 500 habitants,Tauriac-de-Camarès,Tauriac-de-Camarès (12),,,24,1.68,0,10,27
TAUSSAC,12277,Moins de 500 habitants,Taussac,Taussac (12),,,209,1.68,18688,4,101
TAYRAC,12278,Moins de 500 habitants,Tayrac,Tayrac (12),,,68,1.62,17180,2,26
TERRISSE (LA),12279,Moins de 500 habitants,,,,,68,1.72,17514,2,26
TOULONJAC,12281,Entre 500 et 999 habitants,Toulonjac,Toulonjac (12),,,300,1.91,20562,7,17
TOURNEMIRE,12282,Moins de 500 habitants,Tournemire,Tournemire (12),,,174,1.84,18939,4,56
TRUEL (LE),12284,Moins de 500 habitants,Le Truel,Le Truel (12),,,158,1.66,18118,3,114
VABRE-TIZAC,12285,Moins de 500 habitants,,,,,196,1.73,16768,1,66
VAILHOURLES,12287,Entre 500 et 999 habitants,Vailhourles,Vailhourles (12),,,312,1.78,16798,1,62
VALADY,12288,Entre 1 000 et  3 499 habitants,Valady,Valady (12),,,618,1.97,21179,7,141
VALZERGUES,12289,Moins de 500 habitants,Valzergues,Valzergues (12),,,97,1.77,19586,5,19
VERRIERES,12291,Moins de 500 habitants,Verrières,Verrières (12),,,147,1.90,20067,6,77
VERSOLS-ET-LAPEYRE,12292,Moins de 500 habitants,Versols-et-Lapeyre,Versols-et-Lapeyre (12),,,193,1.87,19150,5,94
VEYREAU,12293,Moins de 500 habitants,Veyreau,Veyreau (12),,,61,1.77,16167,1,59
SAINT-LAURENT-DES-COMBES,16331,Moins de 500 habitants,Saint-Laurent-des-Combes,Saint-Laurent-des-Combes (16),,,44,1.64,0,10,20
SAINT-LEGER,16332,Moins de 500 habitants,Saint-Léger,Saint-Léger (16),,,60,1.59,17502,2,4
SAINT-MARTIAL-DE-MONTMOREAU,16334,Moins de 500 habitants,Saint-Martial,Saint-Martial (16),,,66,1.75,19499,5,10
SAINT-MARTIN-DU-CLOCHER,16335,Moins de 500 habitants,Saint-Martin-du-Clocher,Saint-Martin-du-Clocher (16),,,68,1.71,17989,3,11
SAINT-MARY,16336,Moins de 500 habitants,Saint-Mary,Saint-Mary (16),,,150,1.76,18638,4,21
SAINT-MAURICE-DES-LIONS,16337,Entre 500 et 999 habitants,Saint-Maurice-des-Lions,Saint-Maurice-des-Lions (16),,,417,1.78,17636,2,52
SAINT-MEDARD,16338,Moins de 500 habitants,Saint-Médard,Saint-Médard (16),,,124,1.96,17498,2,3
AUGE-SAINT-MEDARD,16339,Moins de 500 habitants,Auge-Saint-Médard,Auge-Saint-Médard (16),,,143,1.70,17332,2,19
SAINT-MEME-LES-CARRIERES,16340,Entre 1 000 et  3 499 habitants,Saint-Même-les-Carrières,Saint-Même-les-Carrières (16),,,472,1.80,19079,5,25
SAINT-MICHEL,16341,Entre 1 000 et  3 499 habitants,Saint-Michel,Saint-Michel (16),,,1569,1.60,19262,5,22
SAINT-PALAIS-DU-NE,16342,Moins de 500 habitants,Saint-Palais-du-Né,Saint-Palais-du-Né (16),,,117,1.91,20274,6,13
SAINT-PREUIL,16343,Moins de 500 habitants,Saint-Preuil,Saint-Preuil (16),,,120,1.81,20079,6,6
SAINT-PROJET,16344,Entre 1 000 et  3 499 habitants,Saint-Projet-Saint-Constant,Saint-Projet-Saint-Constant (16),,,487,1.84,20141,6,12
SAINT-QUENTIN-SUR-CHARENTE,16345,Moins de 500 habitants,Saint-Quentin-sur-Charente,Saint-Quentin-sur-Charente (16),,,91,1.69,18798,4,11
SAINT-QUENTIN-DE-CHALAIS,16346,Moins de 500 habitants,Saint-Quentin-de-Chalais,Saint-Quentin-de-Chalais (16),,,116,1.80,19011,4,19
SAINT-ROMAIN,16347,Entre 500 et 999 habitants,Saint-Romain,Saint-Romain (16),,,232,1.87,16768,1,23
SAINT-SATURNIN,16348,Entre 1 000 et  3 499 habitants,Saint-Saturnin,Saint-Saturnin (16),,,515,1.94,22246,8,16
SAINTE-SEVERE,16349,Entre 500 et 999 habitants,Sainte-Sévère,Sainte-Sévère (16),,,236,1.84,19746,5,10
SAINT-SEVERIN,16350,Entre 500 et 999 habitants,Saint-Séverin,Saint-Séverin (16),,,384,1.60,17530,2,83
SAINT-SIMEUX,16351,Entre 500 et 999 habitants,Saint-Simeux,Saint-Simeux (16),,,231,1.96,19512,5,20
SAINT-SIMON,16352,Moins de 500 habitants,Saint-Simon,Saint-Simon (16),,,98,1.70,20427,6,32
SAINT-SORNIN,16353,Entre 500 et 999 habitants,Saint-Sornin,Saint-Sornin (16),,,362,1.93,17838,2,20
SAINTE-SOULINE,16354,Moins de 500 habitants,Sainte-Souline,Sainte-Souline (16),,,51,1.72,17369,2,25
SAINT-SULPICE-DE-COGNAC,16355,Entre 1 000 et  3 499 habitants,Saint-Sulpice-de-Cognac,Saint-Sulpice-de-Cognac (16),,,509,1.91,19247,5,18
SAINT-SULPICE-DE-RUFFEC,16356,Moins de 500 habitants,Saint-Sulpice-de-Ruffec,Saint-Sulpice-de-Ruffec (16),,,21,1.44,0,10,8
SAINT-YRIEIX-SUR-CHARENTE,16358,Entre 3 500 et 9 999 habitants,Saint-Yrieix-sur-Charente,Saint-Yrieix-sur-Charente (16),20.0,0.09,3123,1.80,21703,8,34
SALLES-D'ANGLES,16359,Entre 1 000 et  3 499 habitants,Salles-d'Angles,Salles-d'Angles (16),,,440,1.85,21472,7,19
SALLES-DE-VILLEFAGNAN,16361,Moins de 500 habitants,Salles-de-Villefagnan,Salles-de-Villefagnan (16),,,150,1.84,18249,3,22
SALLES-LAVALETTE,16362,Moins de 500 habitants,Salles-Lavalette,Salles-Lavalette (16),,,152,1.83,16631,1,33
SAULGOND,16363,Entre 500 et 999 habitants,Saulgond,Saulgond (16),,,216,1.80,16378,1,34
SAUVAGNAC,16364,Moins de 500 habitants,Sauvagnac,Sauvagnac (16),,,32,1.94,0,10,1
SAUVIGNAC,16365,Moins de 500 habitants,Sauvignac,Sauvignac (16),,,46,1.83,0,10,1
SEGONZAC,16366,Entre 1 000 et  3 499 habitants,Segonzac,Segonzac (16),,,908,1.76,19919,6,12
SIGOGNE,16369,Entre 500 et 999 habitants,Sigogne,Sigogne (16),,,419,1.87,21116,7,13
SIREUIL,16370,Entre 1 000 et  3 499 habitants,Sireuil,Sireuil (16),,,512,1.83,20680,7,10
SONNEVILLE,16371,Moins de 500 habitants,,,,,104,1.84,18628,4,4
SOUVIGNE,16373,Moins de 500 habitants,Souvigné,Souvigné (16),,,93,1.73,17380,2,14
SOYAUX,16374,Entre 10 000 et 19 999 habitants,Soyaux,Soyaux (16),,,4294,1.72,16845,1,43
SUAUX,16375,Moins de 500 habitants,Suaux,Suaux (16),,,168,1.80,16243,1,52
SURIS,16376,Moins de 500 habitants,Suris,Suris (16),,,125,1.78,15928,1,13
TAIZE-AIZIE,16378,Entre 500 et 999 habitants,Taizé-Aizie,Taizé-Aizie (16),,,260,1.84,19789,5,30
TAPONNAT,16379,Entre 1 000 et  3 499 habitants,Taponnat-Fleurignac,Taponnat-Fleurignac (16),,,648,1.89,18846,4,28
THEIL-RABIER,16381,Moins de 500 habitants,Theil-Rabier,Theil-Rabier (16),,,67,1.79,17854,2,25
TORSAC,16382,Entre 500 et 999 habitants,Torsac,Torsac (16),,,320,1.92,21567,8,9
TOUVERAC,16384,Entre 500 et 999 habitants,Touvérac,Touvérac (16),,,276,1.81,18527,3,5
TOUVRE,16385,Entre 1 000 et  3 499 habitants,Touvre,Touvre (16),,,485,1.96,21219,7,11
TRIAC-LAUTRAIT,16387,Entre 500 et 999 habitants,Triac-Lautrait,Triac-Lautrait (16),,,170,1.94,19420,5,5
TROIS-PALIS,16388,Entre 500 et 999 habitants,Trois-Palis,Trois-Palis (16),,,326,1.99,21462,7,8
TURGON,16389,Moins de 500 habitants,Turgon,Turgon (16),,,40,1.77,0,10,9
TUSSON,16390,Moins de 500 habitants,Tusson,Tusson (16),,,114,1.65,18861,4,33
VALENCE,16392,Moins de 500 habitants,Valence,Valence (16),,,100,1.73,16290,1,20
VARS,16393,Entre 1 000 et  3 499 habitants,Vars,Vars (16),,,835,1.88,19541,5,56
VAUX-ROUILLAC,16395,Moins de 500 habitants,Vaux-Rouillac,Vaux-Rouillac (16),,,136,1.78,19014,4,8
VENTOUSE,16396,Moins de 500 habitants,Ventouse,Ventouse (16),,,56,1.86,16285,1,13
VERDILLE,16397,Moins de 500 habitants,Verdille,Verdille (16),,,172,1.60,18072,3,16
VERNEUIL,16398,Moins de 500 habitants,Verneuil,Verneuil (16),,,36,1.93,0,10,12
VERRIERES,16399,Moins de 500 habitants,Verrières,Verrières (16),,,149,1.87,21102,7,8
VERVANT,16401,Moins de 500 habitants,Vervant,Vervant (16),,,64,1.73,18695,4,2
VIBRAC,16402,Moins de 500 habitants,Vibrac,Vibrac (16),,,140,1.74,21991,8,18
VIEUX-RUFFEC,16404,Moins de 500 habitants,Vieux-Ruffec,Vieux-Ruffec (16),,,49,1.74,16171,1,18
VIGNOLLES,16405,Moins de 500 habitants,Vignolles,Vignolles (16),,,72,1.88,17629,2,0
VILHONNEUR,16406,Moins de 500 habitants,Vilhonneur,Vilhonneur (16),,,158,1.88,18012,3,12
VILLEFAGNAN,16409,Entre 1 000 et  3 499 habitants,Villefagnan,Villefagnan (16),,,424,1.73,17205,2,36
VILLEGATS,16410,Moins de 500 habitants,Villegats,Villegats (16),,,103,1.69,19512,5,11
VILLEJESUS,16411,Entre 500 et 999 habitants,Villejésus,Villejésus (16),,,240,1.71,18441,3,31
VILLEJOUBERT,16412,Moins de 500 habitants,Villejoubert,Villejoubert (16),,,131,2.02,19435,5,4
VILLIERS-LE-ROUX,16413,Moins de 500 habitants,Villiers-le-Roux,Villiers-le-Roux (16),,,61,1.69,16119,1,29
VILLOGNON,16414,Moins de 500 habitants,Villognon,Villognon (16),,,160,1.81,18120,3,16
VITRAC-SAINT-VINCENT,16416,Entre 500 et 999 habitants,Vitrac-Saint-Vincent,Vitrac-Saint-Vincent (16),,,231,1.83,18679,4,39
VOEUIL-ET-GIGET,16418,Entre 1 000 et  3 499 habitants,Voeuil-et-Giget,Voeuil-et-Giget (16),,,659,1.86,23316,9,4
VOUHARTE,16419,Moins de 500 habitants,Vouharte,Vouharte (16),,,152,1.67,19373,5,33
VOULGEZAC,16420,Moins de 500 habitants,Voulgézac,Voulgézac (16),,,112,1.85,20262,6,6
VOUZAN,16422,Entre 500 et 999 habitants,Vouzan,Vouzan (16),,,310,1.92,20067,6,29
XAMBES,16423,Moins de 500 habitants,Xambes,Xambes (16),,,135,1.80,17584,2,12
YVIERS,16424,Entre 500 et 999 habitants,Yviers,Yviers (16),,,215,1.80,17473,2,46
AGUDELLE,17002,Moins de 500 habitants,Agudelle,Agudelle (17),,,60,1.90,17470,2,8
AIGREFEUILLE,17003,Entre 3 500 et 9 999 habitants,Aigrefeuille-d'Aunis,Aigrefeuille-d'Aunis (17),,,1596,1.84,20755,7,43
ILE-D'AIX,17004,Moins de 500 habitants,Île-d'Aix,Île-d'Aix (17),,,120,1.51,20752,7,314
ALLAS-BOCAGE,17005,Moins de 500 habitants,Allas-Bocage,Allas-Bocage (17),,,94,1.90,16565,1,12
ANAIS,17007,Moins de 500 habitants,Anais,Anais (17),,,130,1.99,20757,7,6
ANDILLY,17008,Entre 1 000 et  3 499 habitants,Andilly,Andilly (17),,,828,1.99,21031,7,27
SAINTE-PREUVE,02690,Moins de 500 habitants,Sainte-Preuve,Sainte-Preuve (2),,,40,1.65,0,10,9
SAINT-QUENTIN,02691,Entre 50 000 et 99 999 habitants,Saint-Quentin,Saint-Quentin (2),,,25885,1.72,16301,1,371
SAINT-REMY-BLANZY,02693,Moins de 500 habitants,Saint-Rémy-Blanzy,Saint-Rémy-Blanzy (2),,,89,1.87,20231,6,27
SAINT-SIMON,02694,Entre 500 et 999 habitants,Saint-Simon,Saint-Simon (2),,,237,1.93,19771,5,11
SAINT-THIBAUT,02695,Moins de 500 habitants,Saint-Thibaut,Saint-Thibaut (2),,,27,1.91,0,10,8
SAINT-THOMAS,02696,Moins de 500 habitants,Saint-Thomas,Saint-Thomas (2),,,47,1.71,0,10,17
SAMOUSSY,02697,Moins de 500 habitants,Samoussy,Samoussy (2),,,144,1.91,21206,7,5
SANCY-LES-CHEMINOTS,02698,Moins de 500 habitants,Sancy-les-Cheminots,Sancy-les-Cheminots (2),,,36,2.25,0,10,8
SAPONAY,02699,Moins de 500 habitants,Saponay,Saponay (2),,,104,2.00,19726,5,21
SAULCHERY,02701,Entre 500 et 999 habitants,Saulchery,Saulchery (2),,,279,1.98,20763,7,43
SAVY,02702,Entre 500 et 999 habitants,Savy,Savy (2),,,241,1.95,21413,7,1
SEBONCOURT,02703,Entre 1 000 et  3 499 habitants,Seboncourt,Seboncourt (2),,,415,1.98,18682,4,11
SELENS,02704,Moins de 500 habitants,Selens,Selens (2),,,99,1.93,18337,3,19
SELVE (LA),02705,Moins de 500 habitants,La Selve,La Selve (2),,,83,1.99,19300,5,10
SEPTMONTS,02706,Entre 500 et 999 habitants,Septmonts,Septmonts (2),,,223,1.95,21087,7,11
SEPTVAUX,02707,Moins de 500 habitants,Septvaux,Septvaux (2),,,72,1.89,17998,3,3
SEQUEHART,02708,Moins de 500 habitants,Sequehart,Sequehart (2),,,92,1.83,22229,8,4
SERAIN,02709,Moins de 500 habitants,Serain,Serain (2),,,169,1.93,17664,2,13
SERAUCOURT-LE-GRAND,02710,Entre 500 et 999 habitants,Seraucourt-le-Grand,Seraucourt-le-Grand (2),,,302,2.10,20372,6,4
SERCHES,02711,Moins de 500 habitants,Serches,Serches (2),,,117,2.09,20487,6,6
SERGY,02712,Moins de 500 habitants,Sergy,Sergy (2),,,61,1.90,20257,6,21
SERINGES-ET-NESLES,02713,Moins de 500 habitants,Seringes-et-Nesles,Seringes-et-Nesles (2),,,100,2.10,18698,4,15
SERMOISE,02714,Moins de 500 habitants,Sermoise,Sermoise (2),,,136,2.01,18990,4,10
SERVAL,02715,Moins de 500 habitants,Serval,Serval (2),,,25,1.41,0,10,4
SERVAIS,02716,Moins de 500 habitants,Servais,Servais (2),,,125,1.92,21491,8,7
SERY-LES-MEZIERES,02717,Entre 500 et 999 habitants,Séry-lès-Mézières,Séry-lès-Mézières (2),,,261,1.95,18307,3,15
SILLY-LA-POTERIE,02718,Moins de 500 habitants,Silly-la-Poterie,Silly-la-Poterie (2),,,58,1.64,20953,7,25
SISSONNE,02720,Entre 1 000 et  3 499 habitants,Sissonne,Sissonne (2),,,808,1.85,16857,1,24
SISSY,02721,Moins de 500 habitants,Sissy,Sissy (2),,,200,1.87,20843,7,19
SOISSONS,02722,Entre 20 000 et 49 999 habitants,Soissons,Soissons (2),,,13302,1.70,16438,1,237
SOMMELANS,02724,Moins de 500 habitants,Sommelans,Sommelans (2),,,20,2.34,0,10,2
SOMMERON,02725,Moins de 500 habitants,Sommeron,Sommeron (2),,,58,1.98,17863,3,3
SONS-ET-RONCHERES,02727,Moins de 500 habitants,Sons-et-Ronchères,Sons-et-Ronchères (2),,,97,1.77,16829,1,17
SORBAIS,02728,Moins de 500 habitants,Sorbais,Sorbais (2),,,120,1.95,19156,5,23
SOUCY,02729,Moins de 500 habitants,Soucy,Soucy (2),,,39,1.99,0,10,16
SOUPIR,02730,Moins de 500 habitants,Soupir,Soupir (2),,,115,1.86,16954,1,10
SURFONTAINE,02732,Moins de 500 habitants,Surfontaine,Surfontaine (2),,,36,2.17,0,10,7
SUZY,02733,Moins de 500 habitants,Suzy,Suzy (2),,,120,1.94,21128,7,8
TANNIERES,02735,Moins de 500 habitants,Tannières,Tannières (2),,,7,1.25,0,10,2
TARTIERS,02736,Moins de 500 habitants,Tartiers,Tartiers (2),,,68,2.04,18756,4,5
TAVAUX-ET-PONTSERICOURT,02737,Entre 500 et 999 habitants,Tavaux-et-Pontséricourt,Tavaux-et-Pontséricourt (2),,,248,1.85,17405,2,25
TERGNIER,02738,Entre 10 000 et 19 999 habitants,Tergnier,Tergnier (2),,,6090,1.82,16373,1,93
TERNY-SORNY,02739,Moins de 500 habitants,Terny-Sorny,Terny-Sorny (2),,,116,2.07,23278,9,8
THENELLES,02741,Entre 500 et 999 habitants,Thenelles,Thenelles (2),,,241,1.81,17077,1,10
THIERNU,02742,Moins de 500 habitants,Thiernu,Thiernu (2),,,52,1.57,17756,2,2
THUEL (LE ),02743,Moins de 500 habitants,Le Thuel,Le Thuel (2),,,64,1.95,18743,4,7
TOULIS-ET-ATTENCOURT,02745,Moins de 500 habitants,Toulis-et-Attencourt,Toulis-et-Attencourt (2),,,52,1.98,18175,3,5
TRAVECY,02746,Entre 500 et 999 habitants,Travecy,Travecy (2),,,271,1.98,18762,4,15
TREFCON,02747,Moins de 500 habitants,Trefcon,Trefcon (2),,,32,2.23,0,10,2
TRELOU-SUR-MARNE,02748,Entre 500 et 999 habitants,Trélou-sur-Marne,Trélou-sur-Marne (2),,,434,1.75,21277,7,63
TROESNES,02749,Moins de 500 habitants,Troësnes,Troësnes (2),,,84,2.17,21275,7,20
TRUCY,02751,Moins de 500 habitants,Trucy,Trucy (2),,,59,1.98,19843,6,10
TUGNY-ET-PONT,02752,Moins de 500 habitants,Tugny-et-Pont,Tugny-et-Pont (2),,,114,2.07,18195,3,5
TUPIGNY,02753,Moins de 500 habitants,Tupigny,Tupigny (2),,,148,1.93,15704,1,8
UGNY-LE-GAY,02754,Moins de 500 habitants,Ugny-le-Gay,Ugny-le-Gay (2),,,72,1.97,20520,6,8
URVILLERS,02756,Entre 500 et 999 habitants,Urvillers,Urvillers (2),,,250,1.94,20869,7,0
VADENCOURT,02757,Entre 500 et 999 habitants,Vadencourt,Vadencourt (2),,,244,1.89,16583,1,24
VALLEE-AU-BLE (LA ),02759,Moins de 500 habitants,La Vallée-au-Blé,La Vallée-au-Blé (2),,,114,2.03,15639,1,5
VALLEE-MULATRE (LA ),02760,Moins de 500 habitants,La Vallée-Mulâtre,La Vallée-Mulâtre (2),,,61,2.03,17594,2,9
VARISCOURT,02761,Moins de 500 habitants,Variscourt,Variscourt (2),,,68,2.22,20275,6,3
VASSENY,02763,Moins de 500 habitants,Vasseny,Vasseny (2),,,76,2.03,19062,4,6
VASSOGNE,02764,Moins de 500 habitants,Vassogne,Vassogne (2),,,29,2.23,0,10,12
VAUCELLES-ET-BEFFECOURT,02765,Moins de 500 habitants,Vaucelles-et-Beffecourt,Vaucelles-et-Beffecourt (2),,,90,1.96,22973,9,6
VAUDESSON,02766,Moins de 500 habitants,Vaudesson,Vaudesson (2),,,94,2.14,18755,4,9
VAUXAILLON,02768,Entre 500 et 999 habitants,Vauxaillon,Vauxaillon (2),,,185,2.08,18593,4,43
VAUX-ANDIGNY,02769,Entre 500 et 999 habitants,Vaux-Andigny,Vaux-Andigny (2),,,329,2.01,17704,2,18
