nom,cog,catpop,nom_propre,nom_propre_et_dep,taux_hlm_legal,taux_hlm_2015,nb_menages_2013,uc_par_menage,revenu_median_uc,decile_revenu,nb_res_secondaires
NANTIAT,87103,Entre 1 000 et  3 499 habitants,Nantiat,Nantiat (87),,,701,1.74,19342,5,76
NEDDE,87104,Entre 500 et 999 habitants,Nedde,Nedde (87),,,224,1.70,17430,2,232
NEXON,87106,Entre 1 000 et  3 499 habitants,Nexon,Nexon (87),,,1129,1.75,19958,6,99
NIEUL,87107,Entre 1 000 et  3 499 habitants,Nieul,Nieul (87),,,635,1.90,21428,7,34
NOUIC,87108,Entre 500 et 999 habitants,Nouic,Nouic (87),,,251,1.62,17662,2,76
TELOCHE,72350,Entre 1 000 et  3 499 habitants,Teloché,Teloché (72),,,1172,1.98,19972,6,33
TENNIE,72351,Entre 1 000 et  3 499 habitants,Tennie,Tennie (72),,,424,1.91,17700,2,37
TERREHAULT,72352,Moins de 500 habitants,Terrehault,Terrehault (72),,,59,1.90,20123,6,12
THELIGNY,72353,Moins de 500 habitants,Théligny,Théligny (72),,,96,1.89,21531,8,38
THOIGNE,72354,Moins de 500 habitants,Thoigné,Thoigné (72),,,67,2.03,19531,5,22
THOIRE-SOUS-CONTENSOR,72355,Moins de 500 habitants,Thoiré-sous-Contensor,Thoiré-sous-Contensor (72),,,38,1.96,0,10,14
THOIRE-SUR-DINAN,72356,Moins de 500 habitants,Thoiré-sur-Dinan,Thoiré-sur-Dinan (72),,,168,1.90,18156,3,79
THOREE-LES-PINS,72357,Entre 500 et 999 habitants,Thorée-les-Pins,Thorée-les-Pins (72),,,296,1.87,19177,5,44
THORIGNE-SUR-DUE,72358,Entre 1 000 et  3 499 habitants,Thorigné-sur-Dué,Thorigné-sur-Dué (72),,,636,1.87,18919,4,64
TORCE-EN-VALLEE,72359,Entre 1 000 et  3 499 habitants,Torcé-en-Vallée,Torcé-en-Vallée (72),,,524,1.99,19146,5,75
TRANGE,72360,Entre 1 000 et  3 499 habitants,Trangé,Trangé (72),,,479,2.15,22993,9,12
TRESSON,72361,Moins de 500 habitants,Tresson,Tresson (72),,,213,1.70,19390,5,69
TUFFE,72363,Entre 1 000 et  3 499 habitants,Tuffé Val de la Chéronne,Tuffé Val de la Chéronne (72),,,721,1.71,18881,4,57
